Verb,Pronunciation,SinhalaMeanings,Usage
slip,/slɪp/,"ලිස්සා යනවා,
ලිස්සා වැටෙනවා","~ (adv./prep.)
~ (over)"
slow,/sləʊ/,වේගය අඩු වෙනවා/කරනවා,~ (someone/something) (down)
smell**,/smel/,"ගඳ සුවඳ
පිට කරනවා/දැනෙනවා/බලනවා,
ඉව අල්ලනවා","~ adj.
~ of something
~ like something
~ something
~ something doing something
~ that..."
smile,/smaɪl/,සිනහ වෙනවා,"~ at someone/something
~ adv./prep."
smoke,/sməʊk/,"දුම් පිට කරනවා,
දුම් බොනවා,
දුම් ගස්සනවා",~ (something)
sneer,/snɪə(r)/,උපහාසාත්මක ලෙස කතා කරනවා/සිනාසෙනවා,~ (at someone/something)
sneeze,/sniːz/,කිවිසුම් අරිනවා,
snow,/snəʊ,හිම වැටෙනවා,
soak,/səʊk/,"පෙඟෙනවා,
පොඟවනවා",~ (someone/something) (in something)
solve,/sɒlv/,විසඳනවා,~ something
sort,/sɔːt/,"වර්ග කරනවා,
තෝරනවා",~ something (into/from something)
sound,/saʊnd/,"ශබ්ද නගනවා,
වගේ ඇහෙනවා (දැනෙනවා),
නාද කරනවා","~ adj.
~ noun
~ like someone/something
~ as if
~ something"
speak*,/spiːk/,කතා කරනවා,"~ (to/with someone) (about something/someone)
~ of someone/something
~ adv./prep."
speed**,/spiːd/,"වේගවත් කරනවා,
වේගයෙන් යනවා/ගෙනයනවා","~ something
~ (someone/something) (adv./prep.)"
spell**,/spel/,වචනයක අකුරු වෙන වෙනම පිළිවෙලින් කියනවා,~ something
spend*,/spend/,"වියදම් කරනවා,
වැය කරනවා","~ something (on someone/something)
~ something (on/in) doing something"
spill**,/spɪl/,"(ද්‍රවයක්) හැලෙනවා,
හලනවා",~ (something) (adv./prep.)
spin*,/spɪn/,භ්‍රමණය වෙනවා/කරනවා,~ (something) (adv./prep.)
split*,/splɪt/,කොටස්වලට වෙන් වෙනවා/කරනවා,"~ (something) (into something)
~ something (with someone)
~ something between someone"
spoil**,/spɔɪl/,"නරක් කරනවා,
(කෑම) නරක් වෙනවා",~ someone/something
sponsor,/ˈspɒnsə(r)/,අනුග්‍රහය දක්වනවා,"~ someone/something (for something)
~ someone/something (to do something)
~ someone/something (through something)"
spread*,/spred/,"පැතිරෙනවා/පතුරනවා,
විහිදෙනවා/විහිදුවනවා,
එළනවා,
(ජෑම්/බටර් වැනි) තුනී තට්ටුවක් ගානවා","~ (something) (adv./prep.)
~ something (out) (on/over something)
~ A on/over B
~ B with A"
squash,/skwɒʃ/,තලා පොඩි කරනවා,~ something/someone (against something)
squeeze,/skwiːz/,(ඇඟිලිවලින්) තද කරමින් මිරිකනවා,"~ (something)
~ something (out)
~ something (out of/from something)"
stablize,/ˈsteɪbəlaɪz/,ස්ථායී වෙනවා/කරනවා,~ (something)
stain,/steɪn/,කැළැල් කරනවා,~ (something) (with something)
stand*,/stænd/,"හිටගන්නවා/හිට්ටනවා,
පිහිටා තියෙනවා,
නැගී සිටිනවා etc.","~ (someone/something) (adv./prep.)
~ + adj./noun
~ to do something
~ on something"
start,/stɑːt/,"ආරම්භ කරනවා,
පටන් ගන්නවා,
ක්‍රියාත්මක කරනවා","~ something
~ to something
~ (someone) doing something
~ on something"
state,/steɪt/,"ප්‍රකාශ කරනවා,
සඳහන් කරනවා","~ something
~ that...
~ wh-"
stay,/steɪ/,"රැඳී සිටිනවා,
නැවතී සිටිනවා","~ (adv./prep.)
~ doing something"
steal*,/stiːl/,"හොරකම් කරනවා,
හොරෙන් යනවා","~ (something) (from someone/something)
~ adv./prep."
stick*,/stɪk/,"හිර වෙනවා/කරනවා,
ඇලෙනවා/අලවනවා,
(යමක් තුළට) ඔබනවා","~ (something) (adv./prep.)
~ (in something)"
stimulate,/ˈstɪmjuleɪt/,උත්තේජනය කරනවා,~ someone/something (to do something)
