Verb,Pronunciation,SinhalaMeanings,Usage
zip,/zɪp/,zip කරනවා (අරිනවා/වහනවා),"~ something
~ someone into something
~ something + adj.
~ (someone/something) (up/together)"
zoom,/zuːm/,"වේගයෙන් යනවා,
(මිලක්) ක්ෂණිකව ඉහළ යනවා,
විශාලනය කරනවා","~ adv./prep.
~ (up) (to …)
~ in/out"
