Verb,Pronunciation,SinhalaMeanings,Usage
respond,/rɪˈspɒnd/,ප්‍රතිචාර දක්වනවා,"~ (to someone/something) (with something)
~ that...
~ (to someone/something) (by doing something)"
rest,/rest/,"විවේක ගන්නවා,
රැඳී සිටිනවා/තිබෙනවා,
හේත්තු වී සිටිනවා/තිබෙනවා",~ (something) (adv./prep.)
restore,/rɪˈstɔː(r)/,"ප්‍රතිසංස්කරණය කරනවා,
ප්‍රකෘති තත්වයට පත් කරනවා,
ආපසු පැවති තත්වයට ගේනවා","~ something
~ someone/something to something"
restrict,/rɪˈstrɪkt/,"සීමා කරනවා,
සීමාවලට යටත් කරනවා","~ something (to something)
~ something (to someone)"
resume,/rɪˈzjuːm/,යළි පටන් ගන්නවා,"~ (something)
~ doing something"
retain,/rɪˈteɪn/,"රඳවා තබා ගන්නවා,
පවත්වා ගන්නවා,
සේවය ලබා ගන්නවා","~ something
~ someone/something"
retire,/rɪˈtaɪə(r)/,විශ්‍රාම ගන්නවා/ගන්වනවා,"~ (from something)
~ (to something)
~ someone"
retreat,/rɪˈtriːt/,පසු බසිනවා,~ (adv./prep.)
return,/rɪˈtɜːn/,"ආපසු එනවා/යනවා,
ආපසු ගේනවා/දෙනවා/යවනවා","~ (to …) (from …)
~ to something
~ someone/something (to someone/something)"
reveal,/rɪˈviːl/,"අනාවරණය කරනවා,
හෙළිදරව් කරනවා","~ (something) (to someone)
~ that...
~ wh-"
reverse,/rɪˈvɜːs/,"ප්‍රතිවර්ත කරනවා,
අනිත් අතට හරවනවා,
(වාහනයක්) පස්සට ගන්නවා",~ something
review,/rɪˈvjuː/,"සමාලෝචනය කරනවා,
ගුණ දොස් විවේචනය කරනවා",~ something
revise,/rɪˈvaɪz/,(ලියවිල්ලක්) පරීක්ෂා කර සංශෝධනය කරනවා,~ something
reward,/rɪˈwɔːd/,තෑග්ගක් දෙනවා,~ someone (with something) (for something/doing something)
ride*,/raɪd/,"(බයිසිකලයක්/අශ්වයෙක්) පදිනවා,
වාහනයක මගියෙකු ලෙස ගමනක් යනවා",~ (something) adv./prep.
ring*,/rɪŋ/,"ටෙලිෆෝන් කරනවා,
සීනුවක් නාද කරනවා,
වට කරනවා","~ someone/something up
~ (something) (for someone/something)
~ someone/something (with something)"
rise*,/raɪz/,"ඉහළ යනවා,
නැගිටිනවා,
(ඉර/හඳ) පායනවා",~ (adv./prep.)
risk,/rɪsk/,"අවදානමේ දානවා,
අවදානමක් ගන්නවා","~ something
~ (doing) something
~ doing something"
rob,/rɒb/,කොල්ලකනවා,~ someone/something (of something)
rock,/rɒk/,"පැද්දෙනවා,
පද්දනවා,
තදින් හෙලවෙනවා/හොලවනවා",~ (adv./prep.)
roll,/rəʊl/,"පෙරළෙනවා/පෙරළනවා,
රෝල් කරනවා/වෙනවා",~ (something) (adv./prep.)
rub,/rʌb/,"අතුල්ලනවා,
ඇතිල්ලෙනවා,
ඔප දමනවා,
පිරිමදිනවා","~ something (with something)
~ on something
~ against something
~ at something
~ (something) (together)
~ something + adj.
~ something (adv./prep.)"
ruin,/ˈruːɪn/,විනාශයට පත් කරනවා,~ something
rule,/ruːl/,"පාලනය කරනවා,
නීතිමය තීරණයක් දෙනවා","~ something
~ over someone/something
~ on something
~ that..."
run*,/rʌn/,"දුවනවා,
වේගයෙන් යනවා,
කරගෙන යනවා,
කෙරීගෙන යනවා,
ගලාගෙන යනවා,
ගලාගෙන යන්න සලස්වනවා","~ adv./prep.
~ something
~ (for something)
~ (something) (into something) (for st/someone)
~ someone something"
rush,/rʌʃ/,"(හදිස්සියෙන්/කලබලෙන්/වේගයෙන්) යනවා/ගෙනයනවා,
හදිස්සි වෙනවා,
හදිස්සි කරනවා","~ adv./prep.
~ something
~ someone/something (adv./prep.)
~ (someone) into something"
